id,title,published_date,location,description
fqoXCFGkrLU,"Lock Down On Domestic Violence - Initiative by Vasavya Mahila Mandali , Mahila Mitra &amp; AP Police",2020-05-03T13:20:52Z,IN,Women has every option to fight against Domestic Violence during this Lock Down . Lock Down On Domestic Violence - Initiative by Vasavya Mahila Mandali ...
IFjwg3Awaok,How to Tackle the Domestic Violence Surge During Coronavirus Lockdowns,2020-05-19T02:32:01Z,IN,COVID-19 has forced millions of people to stay at home and it's led to a dramatic rise in domestic abuse. The UN says if lockdown orders remain for much longer ...
6uvzMV1tANY,&#39;They abused &amp; threatened me&#39;: Surat doctor accuses neighbours of harassment,2020-04-07T10:27:24Z,IN,"Even as healthcare workers are risking their lives to battle the COVID-19 pandemic, reports have emerged of some being harassed. After the shocking Indore ..."
Q5feWFYSsEc,Mother fatally stabbed a victim of domestic violence: family,2020-02-13T22:53:04Z,IN,"Brittney Newman was stabbed to death in her Mississauga home on Sunday. Her family says the mother of two was a victim of domestic violence, and that her ..."
FcqRH4WM2to,Kenyans in China speak out on the discrimination of Africans by Chinese citizens  | Tuko TV,2020-04-11T08:22:06Z,IN,Kenyans in China speak out on the discrimination of Africans by Chinese citizens | Tuko TV Kenyans in china speak out on the discrimination of Africans by ...
vCdRxPTDTZs,"Farmington Hills police officer accused of domestic violence, firing gun, stalking another officer",2020-02-20T22:15:10Z,IN,"A Farmington Hills police officer is accused of domestic violence, improperly firing a gun and stalking a fellow officer at the department, authorities said."
EMHLoc3Ujuc,𝐒𝐞𝐱𝐮𝐚𝐥 𝐀𝐬𝐬𝐚𝐮𝐥𝐭 𝐀𝐰𝐚𝐫𝐞𝐧𝐞𝐬𝐬 𝐌𝐨𝐧𝐭𝐡 - 𝐀𝐏𝐑𝐈𝐋 𝟐𝟎𝟐𝟎,2020-04-02T03:08:05Z,IN,April is National Sexual Assault Awareness Month (SAAM) and WITN22 is doing its part to get the word out about resources for victims and survivors. The goal of ...
oyTaA2mQpCk,&#39;Gabriel the Great&#39; recovering from horrific abuse as Rescue seeks justice,2020-02-03T13:01:30Z,IN,"Gabriel was beaten and tortured, and a local veterinarian says it's the worst case he's ever seen. Now his rescuers are seeking justice."
tXjkosQwJ5g,Weinstein trial is &#39;getting closer to the reality&#39; of sexual harassment,2020-02-26T00:07:24Z,IN,UTS Discrimination Law Expert Dr Karen O'Connell says the results of Harvey Weinstein's trial are “really exciting because we know what sexual assault and ...
CLA7rokhq9A,మహిళలకు కష్టాలు తెచ్చిపెట్టిన  లాక్ డౌన్ | Domestic Violence Rises amid Coronavirus Lockdown | hmtv,2020-04-14T09:39:30Z,IN,మహిళలకు కష్టాలు తెచ్చిపెట్టిన లాక్ డౌన్ | Domestic violence rises amid coronavirus lockdown | hmtv #Domesticviolence...
GO6zkH6l5yE,Sexual Harassment at the Workplace in Pakistan | Legal Remedies | Episode 3,2020-01-28T13:19:56Z,IN,What action can you take if you have been a victim of Sexual Harassment in Pakistan? What remedies does the law provide you? And what steps can you take to ...
SUPwl1GqgJM,Muffled Voices: Women Share Stories of Domestic Violence | The Quint,2020-03-04T03:01:13Z,IN,"Domestic Violence in India: Some crimes are so rampant, as a society we tend to become desensitised towards them. Domestic violence is one such reality, ..."
tP0O-PXIVQ8,"Armed group returns to downtown Raleigh, is met by protesters",2020-05-16T23:21:59Z,IN,"Armed group returns to downtown Raleigh, is met by protesters."
XFF07rExtRM,2019 Domestic Violence Victims,2020-03-15T19:51:27Z,IN,MP Jess Phillips reading out the names of the 2019 victims of domestic violence (and women killed by men) in Parliament in March 2020. Useful Links: Femicide ...
v6LC_RFVS1U,Qld govt criticised for domestic violence approach,2020-03-11T03:01:13Z,IN,Queensland's government has received criticism from the Opposition over its approach to handling domestic violence. The Deputy Qld Opposition leader Tim ...
claP8sz68IY,"Man arrested for kidnapping, domestic violence after girlfriend texts code word to her son",2020-02-14T03:29:32Z,IN,"The Cherokee County sheriff says a woman's quick thinking and use of a code word helped her escape a dangerous situation, putting her captor behind bars."
Lfy9tKJ3pu0,Victims Of Domestic Violence Maneela &amp; Nagalakshmi Interview-Promo|Crime Victims With Muralidhar #37,2020-01-07T13:32:44Z,IN,Here is the promo of an exclusive interview with Victims Of Domestic Violence Maneela & Nagalakshmi only on Crime Victims With Muralidhar. In this exclusive ...
VjNXt-yunxw,Atrocities | Women | Domestic Violence | Pregnancy | LOCKDOWN | COVID-19 | Dr. Purnendu Roy |G.H,2020-05-06T10:17:35Z,IN,"DR. PURNENDU ROY M.B.B.S, M.S, F.I.C.S, F.A.I.S, FAMS, D.UROL [ LONDON ] Chairman & Managing Director Genesis Group of Companies : Genesis ..."
f6GQyJasS28,Lockdown | Sexual Harassment | Domestic Violence| Poetry by Titiksha.,2020-04-24T11:58:10Z,IN,It is very disheartening to see that there is no improvement in crime against women during this deadly time around the world. Being a responsible citizen I have ...
AZWkR8Pb4YE,"Fatma, a mother of five decries harassment by a tycoon who has demolished her house three times",2020-04-28T12:44:12Z,IN,"Fatuma Mohammed, a mother of five from Isiolo decries harassment by a local tycoon who has repeatedly demolished her house at Mabatini on three separate ..."
l8ZRJQaLoaM,Indian gang rapists to be hanged after horrific 2012 assault on New Delhi bus | ABC News,2020-01-30T04:09:54Z,IN,"Nirbhaya* was an intelligent, fearless and ambitious young woman. The 23-year-old college student also had a strong sense of justice, never afraid to call out ..."
EsPK5jLmXMk,Interview: California Partnership to End Domestic Violence,2020-02-13T00:17:49Z,IN,"FOX40's Nikki Laurenzo sits down with Alejandra Aguilar, statewide prevention program specialist at the California Partnership to End Domestic Violence, to talk ..."
WkS6F4OVLo4,House Public Safety and Criminal Justice Reform Finance and Policy Division - part 2  3/4/20,2020-03-05T13:32:26Z,IN,05:58 - HF3975 (Mariani) Post-conviction relief time limit modified for when a court may hear a petition. 48:39 - HF3976 (Dehn) Aiding and abetting felony ...
E2CSh4qh_5M,"In Case That Sparked #MeToo, Harvey Weinstein Convicted of Rape in New York City Trial",2020-02-24T18:43:53Z,IN,"Harvey Weinstein was convicted of rape and a criminal sexual act in New York, more than two years after allegations against the Hollywood power broker ..."
pGBjzNgdKjM,"Inmates or cadets? Teens choked, traumatized at military boot camp",2020-03-23T14:48:12Z,IN,A pattern of physical violence against cadets at the Fort Stewart Youth Challenge Academy might never have been discovered were it not for an additional ...
mNQVqzMrNq8,Measures to prevent sexual abuse and harassment in the film industry,2020-02-21T17:47:28Z,IN,"Sexual abuse and harassment on film sets in SA has become so rife that some are employing safety officers on set, as well as intimacy co-ordinators so that sex ..."
ej9GF847yR0,Abuse in China: Kenyan Government writes to China after reports of harassment of Kenyan nationals,2020-04-10T19:11:38Z,IN,Kenyans threatening to retaliate against Chinese in the wake of xenophobic attacks. #Kenya #KTNNews #KTNPrime #COVID19 #CoronaVirus SUBSCRIBE to ...
xU-J58dtGLI,Shocking! Woman constable accuses Lucknow police officers of rape and harassment,2020-01-10T04:53:50Z,IN,Lucknow #WomanConstable A woman constable has accused Lucknow police officers of rape and harassment. A video where she can be seen crying and ...
8iajCgOH95Q,"Allegations of animal abuse, harassment fly in Fremont over humane society controversy",2020-05-07T23:53:17Z,IN,At least nine former Dodge County Humane Society employees have spoken out about their experiences.
NWgGuo0Vf1M,SportWorks TALKS &quot;Prevention of harassment and abuse in sport: The role of sports organisation&quot;,2020-04-22T07:51:25Z,IN,"SportWorks TALKS - #MeetTheMembers - Webinar Series 2020 TALK: ""Prevention of harassment and abuse in sport: The role of sports organisation"" GUEST: ..."
Eza3uUvBETM,Not Okay: 5 Women Share Their Everyday Sexual Harassment Stories | Women&#39;s Day | The Quint,2020-03-07T06:49:05Z,IN,"This #InternationaWomensDay, The Quint spoke to five women who shared stories of #SexualHarassment, how they fought back and the trauma that lingers on."
rrd6MVP3vpE,Iowa Sheriff Arrested for Domestic Abuse Also Faces Sexual Harassment Allegation,2020-04-15T19:28:29Z,IN,The man in charge of the Calhoun County Jail is now behind bars himself.
mnFdfYESoMc,How to Beat Sexual Harassment in the Workplace,2020-05-15T00:32:03Z,IN,Adrienne Lawrence speaks with Francesca Fiorentini on The Conversation about her new book Staying in the Game: The Playbook for Beating Sexual ...
rLkueAXa92s,"Report: A culture of misogyny, sexual harassment by top execs at Victoria&#39;s Secret",2020-02-01T23:09:26Z,IN,"Report: A culture of misogyny, sexual harassment by top execs at Victoria's Secret."
i9kuAHOnFsY,Addressing Sexual Harassment and Abuse in The Spiritual &amp; YouTube Community,2020-03-23T03:42:38Z,IN,"Not fun to talk about but it has to be said because it's going on. Be safe, be aware and know your worth. No one deserves abuse or harassment EVER. Anyone ..."
ULgC_CF89VQ,Sexual Harassment Case In Ambala Given Communal Spin,2020-01-22T08:40:05Z,IN,A two-minute long video showing women beating up the accused is viral on social media with claims that he is a Muslim man who was harassing a 5-year-old ...
FHDA9u2wrpg,"Bystander guide: tips for intervening if you see harassment, vilification or abuse.",2020-03-03T06:48:25Z,IN,"Have you seen public acts of harassment, vilification, or racist abuse, but been unsure what to do about it? This short video provides some tips for bystanders on ..."
v6RkwBEyBSI,SEXUAL HARASSMENT RAPE THREATS #Boys Locker Room | Magizhchi Media | Sriram Chellaiah |,2020-05-06T08:55:14Z,IN,SEXUAL HARASSMENT RAPE THREATS |MagizhchiMedia| #BoysLockerRoom #sriramchellaiah #sexualharassment.
4qWt2qZ59w8,"Sexual Assault, Consent and Sexual Harassment: What&#39;s The Difference?",2020-04-16T12:15:47Z,IN,"What is the difference between sexual assault, consent and sexual harassment? Watch this short video and check out the related videos below to learn more!"
FXgVs4vQPjc,Enough is Enough: STOP Sexual Harassment! | Shaykh Dr. Yasir Qadhi,2020-01-21T18:00:09Z,IN,"This is an issue that is found everywhere around the world, even in Islamic countries. You will be shocked if you were to look at the number of cases in such ..."
6uvzMV1tANY,&#39;They abused &amp; threatened me&#39;: Surat doctor accuses neighbours of harassment,2020-04-07T10:27:24Z,IN,"Even as healthcare workers are risking their lives to battle the COVID-19 pandemic, reports have emerged of some being harassed. After the shocking Indore ..."
Cxkn7Xu3W0s,SEXUAL HARASSMENT &amp; ABUSE PART 1,2020-04-30T05:43:39Z,IN,"UNDERGROUND [UG] Is the Arlington Seventh-day Adventist Church High-School student ministry. UG Exist to Engage, Prepare, and Empower students to ..."
VKTBhxdQwlc,NANS Kick as ASUU Attacks Sexual Harassment bill at National Assembly | Viable Tv,2020-02-18T08:39:55Z,IN,
vk4RQIKsqZI,Thank god you were falsely accused of rape/sexual harassment,2020-05-13T04:44:57Z,IN,"Thank god you were falsely accused of rape/sexual harassment, because at least you did not marry the same person, who you would have to then pay ..."
4wYfw6N9COQ,మానవ అక్రమ రవాణా అరికట్టేదెలా? | Childhood Sexual Abuse &amp; WORKPLACE HARASSMENT LAWS | Snehatvtelugu,2020-01-07T16:56:43Z,IN,మానవ అక్రమ రవాణా అరికట్టేదెలా? | Childhood Sexual Abuse & WORKPLACE HARASSMENT LAWS | Snehatvtelugu Sneha TV 24/7 Telugu News ...
rSvvLmbTvUc,Florida Cop Abuses and Arrests Senior Citizen - More Police Harassment and Abuse - Updates,2020-02-23T03:03:48Z,IN,AMS News - ALWAYS Film The Police - It's Your Right. Check out our store and please consider a purchase to help offset some of the costs (records/FOIA ...
6t4kf7GORjc,"Outraging the Modesty of Women - Harassment, Voyeurism, Stalking - Indian Penal Code",2020-01-29T14:30:00Z,IN,If the explanation was helpful do not forget to subscribe. And don't forget to drop a like too. Check out other Videos on IPC. Actus Reus and Mens Rea ...
eUojTgO3YC4,UNICEF Certification Course | Prevention of Sexual Harassment and Abuse of Authority,2020-05-02T17:44:46Z,IN,This self-learning course is designed to raise awareness of the UN's zero tolerance of workplace harassment and abuse of authority. The course provides ...
HujPlUyTXRY,Officers Nearly Beat Innocent College Student to Death—Then Claim Immunity from All Accountability,2020-02-15T01:25:28Z,IN,"You probably don't know it, but federal agents are working closely with police where you live. Over the past few decades, joint task forces staffed by both state ..."
eDXbys0iSOA,SEXUAL HARASSMENT &amp; ABUSE PART 2,2020-04-30T05:29:43Z,IN,"UNDERGROUND [UG] Is the Arlington Seventh-day Adventist Church High-School student ministry. UG Exist to Engage, Prepare, and Empower students to ..."
YhS6mMF6Y_Y,EXPLAINER: Youth pushes PH anti-sexual harassment movement further,2020-01-28T12:48:09Z,IN,Follow Rappler for the latest news in the Philippines and across the globe. Students and youth groups demand accountability in sexual harassment cases and ...
pWdO0GUJXPw,Indian Women Talk About Growing Rape Incidents and How Sexual Harassment Affects Their Life,2020-05-15T15:48:59Z,IN,"Coming across numerous cases of horrendous crime in newspapers, social media, and mainstream media every day, we wonder what could be the factors ..."
5BMPgqcLepE,Against Harassment 2020 #ItsNotOk,2020-03-05T06:32:09Z,IN,"Subtitles available in English, Arabic, Spanish, Portuguese, Kannada, Malayalam, Tamil, Telugu, Hindi) Call and SMS harassment is a worldwide problem."
dZRtjrpstEo,Aarti Singh REVEALS About S€XUAL Harassment In Her Childhood | Bigg Boss 13,2020-01-11T15:45:00Z,IN,Arti Singh and Madhurima talks about their horrifying past experience in their childhood. Watch the whole story to know more. Reporter Bushra Ansari Editor ...
5h_SetlQJ9E,RETRO: An Interview On Sexual Harassment In Politics With Barbara Carlson,2020-05-19T16:00:07Z,IN,Rabbi Friedman being interviewed by talk show host Barbara Carlson on KSTP Radio in Minnesota. Rabbi Manis Friedman gives us a deeper understanding to ...
g-dJWsUETjQ,Aisha Yesufu speaks on ASUU and the Anti- Sexual Harassment Bill,2020-02-18T12:10:42Z,IN,'Bring Back Our Girls' (#BBOG) convener speaks on ASSU's remarks against the Anti-Sexual Harassment bill and rape in Nigeria.
UKwRdRh_Lcw,"Matunga Railway Bridge पर Mumbai Police ने  Molester पकड़ा, Sexual Harassment के charges नहीं लगे",2020-02-08T09:29:12Z,IN,Mumbai's railway police arrested Raijur Habibur Khan on Thursday who is accused of molesting women on a railway bridge in Matunga. Since no women came ...
CSNnUuCSV28,Nirbhaya Convict Mukesh sexual harassment in Jail: निर्भया के इस गुनाहगार का जेल में यौन उत्पीड़न,2020-01-28T11:42:22Z,IN,Nirbhaya Convicts Mukesh sexual harassment in Jail: निर्भया के इस गुनाहगार का जेल में यौन उत्पीड़न #NirbhayaConvicts...
8VrEYaZKML8,Responding to Complaints of Sexual Harassment,2020-04-29T15:25:42Z,IN,
YuoIp_75o-A,McDonald&#39;s Facing Sexual Harassment Suit,2020-04-13T22:16:17Z,IN,Current and former McDonald's workers filed a class-action suit alleging corporate-owned stores ignored widespread sexual harassment and abuse.
HPL-DkSgR8I,2nd Kerala Nun Accuses Bishop Franco Mulakkal Of Sexual Harassment | CNN News18,2020-02-21T12:56:49Z,IN,"A second Kerala nun has now accused Bishop Franco Mulakkal, of sexual harassment. She is also a witness in the other nun's case against the bishop."
GQqIKYrpU-8,Lipstick gun: new weapon to fight against sexual harassment in India,2020-01-17T19:00:18Z,IN,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Shyam Chaurasia, a local inventor from the northern Indian city of Varanasi, ..."
-mi6CfKpHGI,"Lady Doctor On Covid-19 Duty Abused By Neighbours, India Heading Towards Stage 3? |To The Point",2020-04-07T02:31:12Z,IN,"Citizens who will beat thalis, light candles, clap for the eoctors, the frontline warriors of coronavirus in India, will also humiliate, abuse, threaten them when it ..."
TloReiE2zVw,Quid Pro Quo Sexual Harassment,2020-04-29T15:25:19Z,IN,
tIQieWuw_pQ,Child Harassment/Abuse In Pakistan,2020-03-01T08:30:05Z,IN,"Like , Share and Subscribe our Channel and Follow Us On http://www.nanews.pk facebook.com/nanews.official twitter.com/nanews_pk Thank you So Much."
nHnckWoaWdg,Disability-Based Harassment,2020-04-29T15:26:40Z,IN,
_cKFOilKmVI,Pressure on Government to evacuate Kenyans from China following images of harassment of Africans,2020-04-12T18:15:59Z,IN,Kenya #KTNNews #KTNPrime #COVID19 #CoronaVirus SUBSCRIBE to our YouTube channel for more great videos: https://www.youtube.com/ Follow us on ...
_bGe-RF9zFk,"S4E9 Denise Koster - Elder abuse, bullying and harassment",2020-04-01T22:44:49Z,IN,"Denise Koster, has worked in the area of violence since 1985. Denise provides management and labour groups with investigation services, practical education, ..."
7M2PBsyjtho,Kasi alias Suji - Nagercoil Sexual Harassment Case ( Part - 1 ),2020-04-27T20:57:59Z,IN,ChinmayiSripada #Nagercoil #Harassmentcase Shut the Phone Up - Campaign Link https://www.youtube.com/watch?v=wlflTAEAOGM&t=5s Superintendent of ...
YVxtpIwMsaU,Sam Heughan Calls Out Bullies,2020-04-17T20:30:02Z,IN,"After Sam Heughan revealed he's been dealing with bullies and stalkers for years, Carlos Bustamante and Graeme O'Neil react during ""ET Canada Live""."
ygD6WipMixg,Block 1 | Emotional Impact of online harassment,2020-01-27T06:55:50Z,IN,"What are the risks? The potential impact of online abuse and harassment: - Derived from sustained, threatening harassment - Derived from constant, ..."
9L-Csgfw1V4,Against Harassment 2020 / Violet #ItsNotOk,2020-03-10T09:00:02Z,IN,"This is Violet from Kenya, and this is her #ItsNotOk story. Call and SMS harassment is a worldwide problem. Truecaller expanded its annual research of the ..."
R3AyJcMhsj4,Russell Simmons Accusers Talk the Controversial Documentary and Oprah&#39;s Exit,2020-02-07T22:23:35Z,IN,"On the Record,” a documentary that presents the former music executive Drew Dixon's accusations of sexual harassment and rape against the hip-hop mogul ..."
O2iNXB3cNt4,"Sexual Harassment Scandal: Tanya Washington, Law Professor",2020-02-25T09:56:51Z,IN,Professor of Law at Georgia State University College of Law Tanya Washington reacts to Harvey Weinstein's sexual assault and rape convictions.
CXla5IO4IeY,If Robbery was treated like Sexual Harassment | Instant Kooky,2020-05-15T12:32:49Z,IN,"If Robbery was treated like Sexual Harassment. We have heard too much of ""Not all men"" debate whenever anyone tries to speak against sexual harassment, ..."
